StoreID,SKU,RSP,Stock_On_Hand
289,12502,22,0
289,44924,42,0
289,33221,160,0
289,52677,69,23
289,55321,127,0
289,13096,666,0
289,12896,1333,11
289,12079,1194,0
289,68942,865,0
289,13009,1449,0
289,13010,1555,3
289,40185,103,0
289,13131,269,0
289,12926,1663,0
289,12923,35,434
289,12925,33,0
289,12924,22,0
289,12494,79,27
289,11208,32,3
289,11209,53,55
289,40941,24,0
289,40942,46,46
289,12123,53,91
289,34729,75,0
289,12584,14,67
289,12810,16,0
289,61005,24,10
289,68513,132,11
289,60581,257,0
289,60582,393,0
289,61399,138,0
289,61400,190,0
289,69432,26,5
289,54172,73,18
289,54176,73,6
289,58684,190,3
289,73199,17,9
289,73200,14,0
289,73201,13,0
289,60305,25,0
289,60306,36,6
289,69595,456,6
289,69596,332,0
289,71719,49,19
289,84307,47,0
289,85442,65,0
289,85443,65,0
289,68469,198,0
289,68470,198,2
289,68471,313,1
289,68472,313,0
289,59289,337,0
289,59888,37,0
289,12495,22,144
289,11923,34,0
289,12546,54,48
289,40187,17,12
289,11517,51,7
289,13018,94,4
289,31574,1605,0
289,32347,2094,0
289,31575,1263,0
289,51606,144,82
289,11722,309,205
289,11485,165,0
289,12616,63,0
289,10898,348,34
289,33128,155,9
289,33127,155,0
289,34105,50,137
289,33530,444,0
289,33354,11,0
289,68551,267,38
289,64778,8,12
289,59290,9,2
289,59536,8,0
289,34104,19,26
289,11174,122,0
289,34226,360,8
289,33307,8,0
289,12498,35,0
289,59181,269,8
289,68948,11,6
289,67553,53,0
289,51608,269,2
289,11714,364,3
289,11527,199,0
289,11719,404,9
289,33664,342,0
289,33663,334,0
289,33661,320,90
289,51609,148,4
289,34387,288,0
289,11723,432,1
289,11686,271,1
289,11189,92,2
289,10755,164,0
289,11718,232,8
289,10756,193,13
289,11715,382,9
289,11357,213,0
289,66436,28,3
289,63374,93,0
289,60307,56,2
289,33071,10,39
289,21040,4,252
289,21897,43,73
289,21959,16,83
289,22279,23,0
289,10897,91,16
289,65158,23,0
289,32554,87,74
289,32582,74,175
289,34307,689,0
289,32965,90,0
289,57313,20,0
289,58791,26,100
289,34122,34,12
289,34227,436,33
289,58020,42,0
289,12667,28,0
289,13015,435,0
289,22153,60,25
289,34251,278,0
289,12377,30,216
289,20090,28,90
289,33667,19,0
289,11060,61,193
289,10806,84,31
289,20591,26,145
289,20857,55,0
289,22275,13,90
289,30506,37,0
289,33149,26,16
289,35101,20,0
289,10477,81,0
289,10476,331,0
289,12068,485,0
289,22152,39,0
